Track Number,Song Title,Album,Artist,Release Date,Lyrics
9,All of Us,Pygmalion,Slowdive,6-Feb-95,10 ContributorsAll of Us Lyrics This whole life Is all of us This whole dream Is all of me Minnow lies Inside me now No one here Is sure He is all of us He is all of us He is all of us He is all of us He looks centuries older He's of centuries gone Recognise I need her I can hold you close He is all of us He is all of us He is all of us He is all of usSee Slowdive LiveGet tickets as low as $55You might also like4Embed
1,Slomo,slowdive,Slowdive,5-May-17,"21 ContributorsTranslationsPolskiEspaÃ±olSlomo Lyrics You give me your love, it's a curious love You give me your heart, it's a curious thing Our lady of the shipwreck is running through the storm With her skirts blown back Hands to the fore My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love It burns and it slides It's a curious ride (Gimme your heart) Gimme your heart, yeah Gimme your heart My love and I go, yeah, it's a curious ride We're younger than clouds Younger than clouds (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) See Slowdive LiveGet tickets as low as $55You might also like It burns and it slides It's a curious ride Gimme your heart, yeah Gimme your heart You give me your love, it's a curious love You give me your heart, it's a curious thing Our lady of the shipwreck is running through the storm With her skirts blown back Hands to the fore My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love (My love and I go, it's a curious woe now) (Like dreamers at dawn, awake but not yet) (You gimme your heart, it's a curious thing now) (Gimme your love, it's a curious love) (My love and I go, it's a curious woe now) (Like dreamers at dawn, awake but not yet) (You gimme your heart, it's a curious thing now) (Gimme your love, it's a curiousâ)3Embed"
2,Star Roving,slowdive,Slowdive,12-Jan-17,"23 ContributorsTranslationsPolskiEspaÃ±olPortuguÃªsStar Roving Lyrics Give it away now, girl Can't hold down tonight Every black and white Secret's a blinking light Emma flies a kite Said she's feeling love for everyone tonight Although possible Said she's feeling good, said she's feeling good Smiling beautiful She says I make it best For everyone to hide Twisting around my girl Nothing left to lose Nothing left to fight Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh See Slowdive LiveGet tickets as low as $55You might also like Give it away now, girl Can't hold on to mine Every black and white Secret's seeking light In a flash of time Said she's feeling love for everyone tonight Smiling beautiful She says I make it best for everyone tonight Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh8Embed"
3,Don’t Know Why,slowdive,Slowdive,5-May-17,"19 ContributorsTranslationsPolskiEnglishDonât Know Why Lyrics Put it all behind you, put it in a song, yeah I don't want to know about it Put it in a corner somewhere I can't find it I don't want to think about Put it on a fire, put it in a pocket I don't want to see you now Put it in a picture, hide it in a story I don't wanna know about Put it all behind you, put it in a song, yeah I donât want to know about it (Bury all the magic) Put it in a corner somewhere I canât find it I donât want to think about (Bury all the treasure) Put it on a fire, put it in a pocket I donât want to see you now (Throw away all the poems) Put it in a picture, hide it in a story I donât wanna know about () I don't remember much about it all Just saw you loving someone else And swallowing that bitter pill My shabby heart was acting out You know I don't want no one else Put it all behind you, put it in a song, yeah I don't want to know about it Put it in a corner, somewhere I can't find it I don't want to think about Put it on a fire, put it in a pocket I don't want to see you now Put it in a picture, hide it in a story I don't wanna know about Put it all behind you, put it in a song, yeah I donât want to know about it (Bury all the magic) Put it in a corner somewhere I canât find it I donât want to think about (Bury all the treasure) Put it on a fire, put it in a pocket I donât want to see you now (Throw away all the poems) Put it in a picture, hide it in a story I donât wanna know about () Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about See Slowdive LiveGet tickets as low as $55You might also like Threw it all upon a fire Took the fight to someone else5Embed"
4,Sugar for the Pill,slowdive,Slowdive,28-Mar-17,39 ContributorsTranslationsEspaÃ±olPolskiSugar for the Pill Lyrics There's a blizzard of gulls They're drumming in the wind Only lovers alive Running in the dark Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole Cut across the sky And move a little closer now Lying in a bed of greed You know I had the strangest dream Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole See Slowdive LiveGet tickets as low as $55You might also like Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole27Embed
5,Everyone Knows,slowdive,Slowdive,5-May-17,"16 ContributorsTranslationsPolskiEspaÃ±olEveryone Knows Lyrics Youâre so beautiful But you're all alone I see you there But I donât know anything And you holding back Just holding on You say you're fine Going to America You made a plan You can sail away Can rent a car Take me to the place you know Take me to America, America To the great north To the great north Well it sounds like fun But I donât know anyone Just say the word Take me to America I can let you go We can take it slow Just pack your bag Take me to the place you know See Slowdive LiveGet tickets as low as $55You might also like Take me to America (America) Take me to America (America) Take me to America (America)3Embed"
6,No Longer Making Time,slowdive,Slowdive,5-May-17,"24 ContributorsTranslationsPolskiEspaÃ±olNo Longer Making Time Lyrics You come anyway You say you're clean and you like it that way You got a new boy He keeps it light, yeah, you like a light love Who cares anyway Oh Lord, I remember those days And all those nights When you wanted so much more Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Come anyway Come on down in your blue-eyed way Comes and it goes You come around and I don't know why Just lovers and life Common ground, yeah, there's no surprise Just holding your arms Holding on till the fear, it goes See Slowdive LiveGet tickets as low as $55You might also like Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Who cares anyway Oh Lord, I remember those days And all those nights Holding on till the fear, it goes5Embed"
7,Go Get It,slowdive,Slowdive,5-May-17,9 ContributorsGo Get It Lyrics I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it shadow of a girl I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it Watch me go away See Slowdive LiveGet tickets as low as $55You might also like1Embed
8,Falling Ashes,slowdive,Slowdive,5-May-17,"24 ContributorsTranslationsPolskiEspaÃ±olFalling Ashes Lyrics Boy and the man Hear the ghost in this town Could this be it Your final words, your own We rolled the bed Piece by piece, plank by plank Then gathered in light You were the grace of my night Thinking about love Thinking about love Thinking about love Thinking about love The night boat floats past The years tumble down He's living alone The only life that you know California, I thought I saw ya' Love of my life, grace of my night Thinking about love Thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love See Slowdive LiveGet tickets as low as $55You might also like Thinking about love Thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Love1Embed"
9,30th June,slowdive,Slowdive,5-May-17,"5 Contributors30th June LyricsThe most beautiful day I ever saw With these eyes I saw the best in life The most sensical day I had Turning stones, turning stones over til they shone (Dark as days, dark as days) And you were caught in the dark With nothing makes sense But you were caught in the dark Where nothing makes no sense (Shadows down, shadows down / when I saw the light in you) The most beautiful day I ever, ever had With these eyes I saw the light in yours The most sensical day I had Turning stones, turning stones over til they shone (Dark as days, turning stones, dark as days)See Slowdive LiveGet tickets as low as $55You might also likeEmbed"
1,Alison,Souvlaki,Slowdive,17-May-93,"56 ContributorsTranslationsPolskiEspaÃ±olAlison Lyrics Listen close and don't be stoned I'll be here in the morning 'Cause I'm just floating Your cigarette still burns Your messed-up world will thrill me Alison, I'm lost ""Alison,"" I said, ""We're sinking"" There's nothing here but that's okay Outside your room, your sister's spinning But she lies, tells me she's just fine I guess she's out there somewhere And the sailors, they strike poses TV covered walls End so slowly With your talking and your pills Your messed-up life still thrills me Alison, I'm lost See Slowdive LiveGet tickets as low as $55You might also like Alison, I'll drink your wine I'll wear your clothes when we're both high ""Alison,"" I said, ""We're sinking"" But she laughs and tells me it's just fine I guess she's out there somewhere31Embed"
2,Machine Gun,Souvlaki,Slowdive,17-May-93,"33 ContributorsTranslationsPolskiEspaÃ±olMachine Gun Lyrics See you walking and I know she's my friend again Just the weight of the water drags me down again Guess I'll think of the water, it's my friend, oh yeah It's just the way that the water makes me feel again Son of Sheba, I saw him drown Son of yellow, I saw him down It's all I need, yeah See you walking and I know she's my friend again Just the weight of the water drags me down again Guess I'll think of the water, it's my friend, oh yeah It's just the way that the water makes me feel again Son of Sheba, I saw him drown Son of yellow, I saw him down It's all I need, yeahSee Slowdive LiveGet tickets as low as $55You might also like16Embed"
3,40 Days,Souvlaki,Slowdive,17-May-93,"39 ContributorsTranslationsPolskiEspaÃ±ol40 Days Lyrics Forty days and I miss you I'm so high that I've lost my mind It's the summer I'm thinking of Forty days and I'm blown away If I saw something good I guess I wouldn't worry If I saw something good I guess I wouldn't care You said you're always sleeping But it's all I believe in It's just that I'm always falling And it makes me feel bad, yeah If I saw something good I guess I wouldn't worry If I saw something good I guess I wouldn't care Used to try and watch you I'd center on the way that you smile I don't know Used to try and watch you I'd center on the way that you smile I don't know Summer air and I want you I center on the way that you smile I don't know Summer air and I want you I center on the way that you smile I don't knowSee Slowdive LiveGet tickets as low as $55You might also like11Embed"
4,Sing,Souvlaki,Slowdive,17-May-93,"26 ContributorsTranslationsPolskiEspaÃ±olSing Lyrics (Sing where the other boys can watch you dance) Here come my man (Sing where the other boys can watch you dance) Here in my mind Watch you fall away I know (Sing where the other boys can watch you dance) See you cover death I know What's in your mind, calling from behind Feel you fall away, I know he's here to stay (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) Who are you, where are you, do you know? (Sing where the other boys can watch you dance) Love is here tonight You call away I wait (Sing where the other boys can watch you dance) I know you're listening to everything I say But I know that you want to stay Oh, here another day (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) Love is what I'm not Watching what you do And I know he's gone awaySee Slowdive LiveGet tickets as low as $55You might also like8Embed"
5,Here She Comes,Souvlaki,Slowdive,17-May-93,"27 ContributorsTranslationsPolskiTÃ¼rkÃ§eEspaÃ±olPortuguÃªsHere She Comes Lyrics It's so lonely in this place So cold, I don't believe And as no one knows my name It's easy to pretend It's easy to believe There's a shadow on my wall It dances like my soul Dances like my soul It's so cold now I swear it will be warm Here she come nowSee Slowdive LiveGet tickets as low as $55You might also like10Embed"
6,Souvlaki Space Station,Souvlaki,Slowdive,17-May-93,30 ContributorsTranslationsEspaÃ±olPolskiSouvlaki Space Station Lyrics Closed doors Brings open minds (And I don't want to see you) See you smile Inside (And I don't want to know you) Faces And I've fallen (And I don't want to hear you) Wonder why I'm here now In asylum Don't you see? In asylum Don't you see? Doors close And feelings flow (And I don't want to know you) Through my mind I feel his (And I don't want to hear you) Pictures And I've fallen (and I don't want to know you) Wonder why I'm here now (I promise to be near you) See Slowdive LiveGet tickets as low as $55You might also like Curse your soul I don't wanna hear you (And I) Curse your soul I don't wanna know you Curse your soul I don't wanna hear you (And I) Curse your soul I don't wanna know you10Embed
7,When the Sun Hits,Souvlaki,Slowdive,17-May-93,"58 ContributorsTranslationsEspaÃ±olPortuguÃªsPolskiWhen the Sun Hits Lyrics Sweet thing, I watch you Burn so fast it scares me Mind games, don't leave me I've come so far, don't lose me It matters where you are As the sun hits, she'll be waiting With her cool things and her heaven Hey hey, lover, you still burn me You're a song, yeah (Hey hey!) Sweet thing, I watch you Burn so fast it scares me Mind games, don't lose me Come so far, don't lose me It matters where you are As the sun hits, she'll be waiting With her cool things and her heaven Hey hey, lover, you still burn me You're a song, yeah (Hey hey!) See Slowdive LiveGet tickets as low as $55You might also like Sweet thing, I watch you (Hey hey hey!) Sweet thing, I watch you (Hey hey hey!) Sweet thing, I watch you (Hey hey hey!)31Embed"
8,Altogether,Souvlaki,Slowdive,17-May-93,"25 ContributorsTranslationsPolskiTÃ¼rkÃ§eEspaÃ±olAltogether Lyrics Yeah, yeah, yeah Sleepyhead, where did you go? I saw you turning, but I couldn't catch your eye It's alright, we're altogether Yeah, yeah, yeah And this is just a dream It broke my heart, but then I guess you didn't know It's alright, we're altogether Yeah, yeah, yeah So tired, you're so right I'm so tired, it's alright tonight Yeah, yeah, yeah See Slowdive LiveGet tickets as low as $55You might also like Sleepyhead, what did you know? I saw you talking, but I didn't hear a word It's alright, we're altogether Yeah, yeah, yeah10Embed"
9,Melon Yellow,Souvlaki,Slowdive,17-May-93,"21 ContributorsTranslationsPolskiEspaÃ±olMelon Yellow Lyrics Sitting by, I watched you fall away Sudden fall, I watched you for a day You know I don't believe in death Follow the sun, I watched you follow the sun Sitting here I watched you dance Looking for the sun I watched you dance So long, so long It's just a way to love you So long, so long It's just a way to love you I saw you looking at the sun I saw you looking at the sun So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love youSee Slowdive LiveGet tickets as low as $55You might also like7Embed"
10,Dagger,Souvlaki,Slowdive,17-May-93,"37 ContributorsTranslationsPolskiEspaÃ±olTÃ¼rkÃ§eDagger Lyrics The sunshine girl is sleeping She falls and dreams alone And me, I am her dagger Too numb to feel her pain The world is full of noise, yeah I hear it all the time And me, I am your dagger You know I am your wound I thought I heard you whisper It happens all the time I thought I heard you whisper It happens all the time She whispers while I'm sleeping: ""I love you when you smile"" I didn't really lose you I just lost it for a while The world is full of noise, yeah I hear it all the time You know I am your dagger You know I am your wound I thought I heard you whisper It happens all the time I thought I heard you whisper It happens all the timeSee Slowdive LiveGet tickets as low as $55You might also like20Embed"
11,Some Velvet Morning,Souvlaki,Slowdive,11-May-93,6 ContributorsSome Velvet Morning Lyrics Some velvet morning when I'm straight I'm gonna open up your gate And maybe tell you 'bout Phaedra And how she gave me life And how she made it in Some velvet morning when I'm Straight Flowers growing on the hill Dragonflies and daffodils Learn from us very much Look at us but do not touch Phaedra is my name Some velvet morning when I'm straight I'm gonna open up your gate And maybe tell you 'bout Phaedra And how she gave me life And how she made it in Some velvet morning when I'm straight Flowers are the things we knew Secrets are the things we grew Learn from us very much Look at us but do not touch Phaedra is my name See Slowdive LiveGet tickets as low as $55You might also like Some velvet morning when I'm straight Some velvet morning when I'm straightEmbed
1,Black Nite Crash,Tarantula,Ride,12-Feb-96,"5 ContributorsBlack Nite Crash LyricsSee the girls coughing, looking underfed When they go to sleep, they dream of being dead I saw you in the corner, with a butcher's knife Your boyfriend running round, looking for a midwife Everyone's got the same disease, it's alright Everybody lives down on their knees, it's alright I bumped into a hunchback abuser Said he made a million working on a cruiser Do what he want and he don't get caught He's looking at the moon but I'm an astronaut Everyone looks when they see a crash, it's alright Everybody needs just a little cash, it's alright Evening daybreak, switchblade stomach ache Gonna meet a man with a rattlesnake handshake Walk around like I'm looking for an upgrade Slipping through town like a penny in the arcadeSee Ride LiveGet tickets as low as $54You might also likeEmbed"
2,Sunshine/Nowhere To Run,Tarantula,Ride,11-Mar-96,"4 ContributorsSunshine/Nowhere To Run LyricsHear the engine running as the tour bus pulls away The sadness of the road will be the death of me one day I'm sick and tired of my guitar and the same old songs again And so I write a new one, that's the nature of the game And when the party's over, I've got nowhere to run The road goes on forever, even when we're dead and gone Drinking in a hotel room, I hate what I've become I'm turning back to nothing, all my dreams have come undone The spotlight drew me over, now it's burning me away So I'm looking for the real me, in some shadow when I play And when the party's over, I've got nowhere to run The road goes on forever, even when we're dead and gone But my love, she's so fine She gives me the sunshine after the rain My love, you're so fine You give me sunshine When the storm is over You give me the sunshine My love, you're so fine You make my sun shine When the storm is over You give me the sunshine after the rainSee Ride LiveGet tickets as low as $54You might also likeEmbed"
3,Dead Man,Tarantula,Ride,11-Mar-96,"6 ContributorsDead Man LyricsDead man, crawling out of his crater Sucking on the air from his ventilator Watch out little girl you're just a beginner He wears outside his face the smile of a winner Drags his woman around by the hair It turns her on, she don't wanna be square Standing on top of the family mountain Drinking lemonade from the magical fountain Holiday trips in a Volkswagen camper Children locked into an old picnic hamper Let them loose to play in a sandpit Leave them there 'cause they take us for granted Man is an ape, and woman a martyr It's not what you do when you do it, it's what you do after I went down to the zoo and I looked in the cages Then I walked on home past the office, collected my wagesSee Ride LiveGet tickets as low as $54You might also likeEmbed"
4,Walk on Water,Tarantula,Ride,11-Mar-96,"6 ContributorsWalk on Water LyricsBeautiful Lady, I love you so You know I need you, please don't go Just like a child, I'm running wild I'd walk on water for your smile I'd walk across the sea To get you close to me This life we're living, it can break your heart But all these contradictions won't pull us apart Don't be afraid, I'm gonna stay Felt like the end, but it was just the startSee Ride LiveGet tickets as low as $54You might also likeEmbed"
5,Deep Inside My Pocket,Tarantula,Ride,11-Mar-96,"5 ContributorsDeep Inside My Pocket LyricsYou think you know me inside out Think you know what I'm all about Here comes a slightly rude surprise While you were tryin' to control 'N' trying to grab my soul I blinked and saw right through ya I'm spellin' out all of my rules Keepin' charge of all my tools I'm decidin' who gets inside When someone cares it's nice to know 'Til that care turns to runnin' the show And then I'll turn on ya There is a secret place, it's deep inside my pocket Never try tellin' me who fits inside my pocket I know what I have to find And I gotta whole lot of time Before I really reach my prize Gotta desire to mess around It'd be cool just to fool around Maybe we'll mess togetha There is a secret place, it's deep inside my pocket Never try tellin' me who fits inside my pocketSee Ride LiveGet tickets as low as $54You might also likeEmbed"
6,Mary Anne,Tarantula,Ride,11-Mar-96,"4 ContributorsMary Anne LyricsEvery time I walk you home You say you just want to be alone Mary Anne, why can't you see That you were born to marry me Take my love, It's all I am See, I'm determined to be your man Mary Anne I wanna pour you into my empty shell Give you secrets you'll never tell As the day breaks over our caravan And you lie beside me like a lamb Mary Anne I can't survive without you here Every second seems like a year I ain't got nothing, I can't pretend Take my love, It's all I am Mary Anne 501 103 33 17 65 66 Mary AnneSee Ride LiveGet tickets as low as $54You might also likeEmbed"
7,Castle On The Hill,Tarantula,Ride,11-Mar-96,"4 ContributorsCastle On The Hill LyricsThe King's been in his bedroom for weeks In exile from the world, he never speaks The Queen is in the counting house, her fingers in the till There's something happening to the Castle on the Hill The jester's telling jokes to everyone Says ""Now he's gone, well ain't it fun"" There's whispers in the courtroom, ""Is he crazy, is he ill?"" Nobody has an answer, but they keep on asking still And a friend of mine, one of the few Has locked himself away like Howard Hughes They're trying to replace him but they know they never will It ain't the same without him, on the Castle on the Hill There's a wind of madness in the air Since he's gone nobody seems to care The court is disillusioned, everything is up for sale And the Castle on the Hill is like a boat without a sailSee Ride LiveGet tickets as low as $54You might also likeEmbed"
8,Gonna Be Alright,Tarantula,Ride,11-Mar-96,"4 ContributorsGonna Be Alright LyricsCan't believe the things I said and did Can't hold back but now I'm glad I did Feel so perfect and I feel so clean Days like these are few and far between 'Cause I got it all, I got it in my head And everything is gonna be alright I see angels now where there was fear and fright And everything is gonna be alright Could this be something trustworthy Open mind filled with feel good things Could this be the meaning of it all I was hunched but now I'm ten feet tall 'Cause I got it all, I got it in my head And everything is gonna be alright I see angels now where there was fear and fright And everything is gonna be alright Everything will be alright, everything will be alright Everything will be alright and everything is gonna be alrightSee Ride LiveGet tickets as low as $54You might also likeEmbed"
9,The Dawn Patrol,Tarantula,Ride,11-Mar-96,"4 ContributorsThe Dawn Patrol LyricsWell the night, it ends so slowly As the last small fires go out One by one on the hillsides With the people hanging out We were wrapped in just a blanket Must've been a pretty sight As we followed up the mountain To sleep under the light I was shivering and shaking In my shoes When The Dawn Patrol it took me And shook away my blues Well you know that funny feeling You get sometimes, now and then When you feel like you can't make it And you want to start again When I get that funny feeling It's with you I wanna be In the hours before daylight Would you be my companySee Ride LiveGet tickets as low as $54You might also likeEmbed"
10,Ride The Wind,Tarantula,Ride,11-Mar-96,"4 ContributorsRide The Wind LyricsI've been waiting round some time Just to live a life that's mine I've been walking round this town When there's no one else around You can hear it everywhere This is our eternal prayer Let it go, Ride the wind Let it go, Ride the wind You'll see me, I'll come and see you Always finding something to do Love is needing, I'm needing love Got to know that there is enough We've been working far too late Carrying this heavy load Let it go, Ride the wind Let it go, Ride the windSee Ride LiveGet tickets as low as $54You might also likeEmbed"
11,Burnin’,Tarantula,Ride,11-Mar-96,"4 ContributorsBurninâ LyricsBehind this wall The sun never shines its rays down on me Don't blame the man who's hunted and trapped And longs to be free Every day the Good Lord sends I plan my sweet revenge This place won't get me down Because I'm gonna burn it down Your own idea of freedom might be to walk in the sun And someone else, well they might tell you, loving someone There's a million kind of doors To go with all the different laws To lock you out and keep you in But never stop you burnin'See Ride LiveGet tickets as low as $54You might also likeEmbed"
12,Starlight Motel,Tarantula,Ride,11-Mar-96,"4 ContributorsStarlight Motel LyricsFollow me down to the Starlight Motel While everyone's sleeping tonight Don't be afraid, I know what's on your mind I'm gonna make it alright Well I know it's cold and I know it's late But our life is short, darling I can't wait Follow my footsteps and silently step Out to the road in the moonlight The stars in the sky are all laid out for us They'll watch over our love tonight Well I know it's cold and I know it's late But our life is short, darling I can't wait Won't you join me for this dance It may be our only chance Baby don't say no tonight There's times I believe that we'll never return But the moon always has to start falling Blankets may protect you from the cold before dawn But they can't protect you from the morningSee Ride LiveGet tickets as low as $54You might also like1Embed"
1,R.I.D.E.,This is Not a Safe Place,Ride,16-Aug-19,2 ContributorsR.I.D.E. Lyrics (Ride) (Ride)See Ride LiveGet tickets as low as $54You might also likeEmbed
2,Future Love,This is Not a Safe Place,Ride,23-Apr-19,"3 ContributorsFuture Love Lyrics I see you Are we drunk on morning dew? 'Cause I Can't say your name But you've got me going Yeah, you've got me going Skies are blue And I can't do anything And the days seem so long Now you've got me going Yeah, you've got me going You had me from the start Pulling all the stops out On the down low, secretly But I think you knew your psychology Was working on me Infatuated And doing this all wrong You've got My number and my name And you've got me going Yeah, you've got me going See Ride LiveGet tickets as low as $54You might also like Can I see you every day? Do you love me Like I love you? Ah, you've got me going Yeah, you've got me going Ah, oh A future love Can never fail Ah, oh A future love Can never fail You've got me going You've got me going You've got me going You've got me going You've got me going You've got me goingEmbed"
3,Repetition,This is Not a Safe Place,Ride,3-Jul-19,"2 ContributorsRepetition Lyrics Change, repetition Change, repetition Change, repetition Change, repetition Repetition is a form of change So don't be phased if the backdrops rearrange Art school taught us how to play Ways of hearing and what they say At seventeen it's purely teenage art, you see Hiding clarity in obscurity Realising there's no truth will set you free As in the cryptic work of JMB Change, repetition Change, repetition Change, repetition Change Happiness is found in simple things If you can smile you don't really need to sing See Ride LiveGet tickets as low as $54You might also like It's funny, people hate you to change They want you just to repeat and stay the same They want you just to repeat and stay the same Even though repetition is a form of change Repetition, change Repetition, change Repetition, change Repetition, changeEmbed"
4,Kill Switch,This is Not a Safe Place,Ride,16-Aug-19,"2 ContributorsKill Switch Lyrics When it hits the fan Jeopardy crashes the wars you wage When the truth gets served The game is up, you go down in the next stage This party's nearly done I wanna kill your sound, make the right noise Hit the kill switch So what do you do? When you're not talking over everyone? What do you do When you're not just playing up your own game This party's nearly done And there's nothing on you, not a stitch I wanna kill your sound, make the right noise Hit the kill switch This party's nearly done And there's nothing on you, not a stitch I wanna kill your sound, make the right noise Hit the kill switch Hit the kill switch Hit the kill switch Hit the kill switch I wanna kill your sound, make the right noise Hit the kill switchSee Ride LiveGet tickets as low as $54You might also likeEmbed"
5,Clouds of Saint Marie,This is Not a Safe Place,Ride,13-Aug-19,3 ContributorsClouds of Saint Marie Lyrics Clouds of Saint Marie I see Clouds of Saint Marie She's over me A memory A remedy A melody Clouds of Saint Marie Make me feel Clouds of Saint Marie Nothing's real (deleted) A memory (is needed) A remedy (repeated) A melody (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again See Ride LiveGet tickets as low as $54You might also like She's over me A memory A remedy A melody Clouds of Saint Marie Before the rain Clouds of Saint Marie She'll fall again (deleted) A memory (is needed) A remedy (repeated) A melody (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) AgainEmbed
6,Eternal Recurrence,This is Not a Safe Place,Ride,16-Aug-19,"2 ContributorsEternal Recurrence Lyrics The boy in the picture has gone That light only lasts for so long You don't know a thing about me But go on and judge what you see Sinking is easy Only clouds in the mirror Feeling uneasy Don't look again November, recovery, change The light always wins over pain Broken time may never mend But love will win in the end Sinking is easy Only clouds in the mirror Feeling uneasy Don't look again See Ride LiveGet tickets as low as $54You might also like A fugitive's lost afternoon He lost himself in the room Some things can never repair Now all is ahead and not there Now all is ahead and not there Now all is ahead and not thereEmbed"
7,Fifteen Minutes,This is Not a Safe Place,Ride,16-Aug-19,"2 ContributorsFifteen Minutes Lyrics Once in a lifetime You do something Something totally fucked That it totally changes everything Now you've got to live with it But you never live it down And it hounds you to the ground Yeah, it hounds you to the ground This was your fifteen minutes Hope you had fun now Have a nice life, yeah You're basically done now (Na na na na) (Na na na na) (Na na na na) (Na na na na) Karma is a killer Regret can really nail you too And nothing you can do or say Can fix this for you Sorry to say it But you can't go back in time This is your life now Until the end of the line Forever unforgiven The cure will not be found As it hounds you to the ground Yeah it hounds you to the ground See Ride LiveGet tickets as low as $54You might also like This was your fifteen minutes Hope you had fun now Have a nice life, yeah You're basically done now This was your fifteen minutes Hope you had fun now Have a nice life, yeah You're basically done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done now (Na na na na) You're done nowEmbed"
8,Jump Jet,This is Not a Safe Place,Ride,16-Aug-19,"3 ContributorsJump Jet Lyrics And a jet could take me far But I couldn't escape this feeling That I donât know where I'm bound If I did get away Am I trapped or just worn down? I work hard and miss my family And the wheels of industry Keep on grinding away This is life on the outside, yeah This is life on the outside, yeah This is life on the outside, yeah As the engines start to roar We keep working to keep this feeling We're not human anymore Weâre just ticking away The machine is on our side As it was, as it's in the beginning It's becoming self-aware And we're fading away This is life on the outside, yeah This is life on the outside, yeah This is life on the outside, yeah See Ride LiveGet tickets as low as $54You might also like This is life on the outside, yeah This is life on the outside, yeah This is life on the outside, yeahEmbed"
9,Dial Up,This is Not a Safe Place,Ride,16-Aug-19,4 ContributorsDial Up Lyrics A day just like any other It could go either way Happiness is too much to ask Feeling is all I crave Got a ticket for an exhibition If I wanna distract my brain But that's really no solution For a love so far that it feels like pain Life has me rattled I've lost sight of my soul I've got no concentration I'm swinging from pole to pole Its like my brain's on dial-up It's trying but it can't get through Or a virus is in the system Dividing two by two by two Sometimes I wonder What in the world do I feel Sometimes I wonder Is any of this even real? Are we living? Are we living? Are we living? Are we living? See Ride LiveGet tickets as low as $54You might also like I never know what makes it pass I only know it will A borderline psychedelic event Then a feeling that it's had its fill Suddenly I'm smiling As I feel it start to end Roll down my windows And I'm myself again Sometimes I wonder What in the world do I feel Sometimes I wonder Is any of this even real? Are we living? Are we living? Are we living? Are we living? Are we living? Are we living? Are we living? Are we living?Embed
