Track Number,Song Title,Artist,Release Date,Lyrics,Album Name
5,Deep Inside My Pocket,Ride,11-Mar-96,"5 ContributorsDeep Inside My Pocket LyricsYou think you know me inside out Think you know what I'm all about Here comes a slightly rude surprise While you were tryin' to control 'N' trying to grab my soul I blinked and saw right through ya I'm spellin' out all of my rules Keepin' charge of all my tools I'm decidin' who gets inside When someone cares it's nice to know 'Til that care turns to runnin' the show And then I'll turn on ya There is a secret place, it's deep inside my pocket Never try tellin' me who fits inside my pocket I know what I have to find And I gotta whole lot of time Before I really reach my prize Gotta desire to mess around It'd be cool just to fool around Maybe we'll mess togetha There is a secret place, it's deep inside my pocket Never try tellin' me who fits inside my pocketSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
6,Mary Anne,Ride,11-Mar-96,"4 ContributorsMary Anne LyricsEvery time I walk you home You say you just want to be alone Mary Anne, why can't you see That you were born to marry me Take my love, It's all I am See, I'm determined to be your man Mary Anne I wanna pour you into my empty shell Give you secrets you'll never tell As the day breaks over our caravan And you lie beside me like a lamb Mary Anne I can't survive without you here Every second seems like a year I ain't got nothing, I can't pretend Take my love, It's all I am Mary Anne 501 103 33 17 65 66 Mary AnneSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
7,Castle On The Hill,Ride,11-Mar-96,"4 ContributorsCastle On The Hill LyricsThe King's been in his bedroom for weeks In exile from the world, he never speaks The Queen is in the counting house, her fingers in the till There's something happening to the Castle on the Hill The jester's telling jokes to everyone Says ""Now he's gone, well ain't it fun"" There's whispers in the courtroom, ""Is he crazy, is he ill?"" Nobody has an answer, but they keep on asking still And a friend of mine, one of the few Has locked himself away like Howard Hughes They're trying to replace him but they know they never will It ain't the same without him, on the Castle on the Hill There's a wind of madness in the air Since he's gone nobody seems to care The court is disillusioned, everything is up for sale And the Castle on the Hill is like a boat without a sailSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
8,Gonna Be Alright,Ride,11-Mar-96,"4 ContributorsGonna Be Alright LyricsCan't believe the things I said and did Can't hold back but now I'm glad I did Feel so perfect and I feel so clean Days like these are few and far between 'Cause I got it all, I got it in my head And everything is gonna be alright I see angels now where there was fear and fright And everything is gonna be alright Could this be something trustworthy Open mind filled with feel good things Could this be the meaning of it all I was hunched but now I'm ten feet tall 'Cause I got it all, I got it in my head And everything is gonna be alright I see angels now where there was fear and fright And everything is gonna be alright Everything will be alright, everything will be alright Everything will be alright and everything is gonna be alrightSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
9,The Dawn Patrol,Ride,11-Mar-96,"4 ContributorsThe Dawn Patrol LyricsWell the night, it ends so slowly As the last small fires go out One by one on the hillsides With the people hanging out We were wrapped in just a blanket Must've been a pretty sight As we followed up the mountain To sleep under the light I was shivering and shaking In my shoes When The Dawn Patrol it took me And shook away my blues Well you know that funny feeling You get sometimes, now and then When you feel like you can't make it And you want to start again When I get that funny feeling It's with you I wanna be In the hours before daylight Would you be my companySee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
10,Ride The Wind,Ride,11-Mar-96,"4 ContributorsRide The Wind LyricsI've been waiting round some time Just to live a life that's mine I've been walking round this town When there's no one else around You can hear it everywhere This is our eternal prayer Let it go, Ride the wind Let it go, Ride the wind You'll see me, I'll come and see you Always finding something to do Love is needing, I'm needing love Got to know that there is enough We've been working far too late Carrying this heavy load Let it go, Ride the wind Let it go, Ride the windSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
11,Burnin’,Ride,11-Mar-96,"4 ContributorsBurninâ LyricsBehind this wall The sun never shines its rays down on me Don't blame the man who's hunted and trapped And longs to be free Every day the Good Lord sends I plan my sweet revenge This place won't get me down Because I'm gonna burn it down Your own idea of freedom might be to walk in the sun And someone else, well they might tell you, loving someone There's a million kind of doors To go with all the different laws To lock you out and keep you in But never stop you burnin'See Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
12,Starlight Motel,Ride,11-Mar-96,"4 ContributorsStarlight Motel LyricsFollow me down to the Starlight Motel While everyone's sleeping tonight Don't be afraid, I know what's on your mind I'm gonna make it alright Well I know it's cold and I know it's late But our life is short, darling I can't wait Follow my footsteps and silently step Out to the road in the moonlight The stars in the sky are all laid out for us They'll watch over our love tonight Well I know it's cold and I know it's late But our life is short, darling I can't wait Won't you join me for this dance It may be our only chance Baby don't say no tonight There's times I believe that we'll never return But the moon always has to start falling Blankets may protect you from the cold before dawn But they can't protect you from the morningSee Ride LiveGet tickets as low as $54You might also like1Embed",Tarantula
1,she found now,my bloody valentine,2-Feb-13,"22 ContributorsTranslationsEspaÃ±olPortuguÃªsshe found now Lyrics You come home and hear I want you I wonder how that you find out I wonder how that you find out Could You could You could be here, I wonder You couldn't lie that it's over You couldn't now that it's over You You could You could Could You come back and see I woke up You might also like I wonder how that you find out You wonder how that you found out Ahh You could You could You could You4Embed",m b v
2,only tomorrow,my bloody valentine,2-Feb-13,"16 ContributorsTranslationsEspaÃ±olPortuguÃªsonly tomorrow Lyrics Into the night we won't come back to Into your heart, it's the only you Only tomorrow the love comes easy What should I do? It's the only you What's in your mind? Our love falls in too Holding you close, it is only one Into the night you won't come back to Into your heart, it's the only you Only tomorrow the love comes easy What should I do? It is only oneYou might also like6Embed",m b v
3,who sees you,my bloody valentine,2-Feb-13,22 ContributorsTranslationsEspaÃ±olPortuguÃªswho sees you Lyrics Wonder sun Carry weight to the one who sees you Make me stay on my way On my way How could it be that your love under stars Know that your nightmares ended Bring your eyes to the night Onto and in you She'll be awake And I'll stay over here Who do you choose Say goodbye Will this world be through And I'm coming in too Look and you saw my cause What you'll do too soon Call me dumb What I do for you You might also like How does it feel? Don't turn back And I love what you do But we're coming home8Embed,m b v
4,is this and yes,my bloody valentine,2-Feb-13,24 ContributorsTranslationsEnglishEnglishis this and yes LyricsAgain Again Again Again Again Again Again Again Again Again Again Again Again Again Again AgainYou might also likeEmbed,m b v
5,if i am,my bloody valentine,2-Feb-13,"18 ContributorsTranslationsEspaÃ±olPortuguÃªsif i am Lyrics Hey wonder then Wait, cause I need today Or tomorrow Curl into you for how I lust you Will come to sorrow Hey, I'm falling, stay 'Cause I'm on to you Where you lay, ah Hard bound to not stop Even if I'm wrong Da-da-da-da-da-da-da-da-da-da-da, du-du-du-du You are out for lust Be my lover Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not)You might also like3Embed",m b v
6,new you,my bloody valentine,2-Feb-13,"16 ContributorsTranslationsEspaÃ±olPortuguÃªsnew you Lyrics Too close when it's really with me Something comes and pins me to the sky to come Too slow when the moon is with you I'll be too and wish you up with me to come soon Maybe we can say, holding me for the way Come back, it's not tomorrow 'cause Always today's fun we know Just like I knew you wanted me to do What can I see? How can I feel too? All kinds of new you Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do doYou might also like3Embed",m b v
7,in another way,my bloody valentine,2-Feb-13,"13 ContributorsTranslationsEspaÃ±olPortuguÃªsin another way Lyrics Close enough to be alive So it feels lost Another way to settle down Another way, another life Deep inside, you and I Sitting on the side Close tonight we'll be inside On the other way, on the other side Close enough to be alive So it feels lost Another way to settle down Another way, another life Deep inside, you and I Sitting on the side Close tonight we'll be inside On the other way, on the other sideYou might also like1Embed",m b v
8,nothing is,my bloody valentine,2-Feb-13,,m b v
9,wonder 2,my bloody valentine,2-Feb-13,"11 ContributorsTranslationsEspaÃ±olPortuguÃªswonder 2 Lyrics I'm moving your eyes slow for you see, see all the way And I found you something to hold you alive Somewhere you stand on worry too unfortunate Will you sing on to come to use on I'm moving your eyes slow for you see, see all the way And I found you something to hold you alive into the head on Remember you used to You were always late to see tomorrow Everyone knows that you're such too soonYou might also like1Embed",m b v
1,Slomo,Slowdive,5-May-17,"21 ContributorsTranslationsPolskiEspaÃ±olSlomo Lyrics You give me your love, it's a curious love You give me your heart, it's a curious thing Our lady of the shipwreck is running through the storm With her skirts blown back Hands to the fore My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love It burns and it slides It's a curious ride (Gimme your heart) Gimme your heart, yeah Gimme your heart My love and I go, yeah, it's a curious ride We're younger than clouds Younger than clouds (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) (Younger than clouds) See Slowdive LiveGet tickets as low as $55You might also like It burns and it slides It's a curious ride Gimme your heart, yeah Gimme your heart You give me your love, it's a curious love You give me your heart, it's a curious thing Our lady of the shipwreck is running through the storm With her skirts blown back Hands to the fore My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love My love and I go, it's a curious woe Like dreamers at dawn, awake but not yet You gimme your heart, it's a curious thing Gimme your love, it's a curious love (My love and I go, it's a curious woe now) (Like dreamers at dawn, awake but not yet) (You gimme your heart, it's a curious thing now) (Gimme your love, it's a curious love) (My love and I go, it's a curious woe now) (Like dreamers at dawn, awake but not yet) (You gimme your heart, it's a curious thing now) (Gimme your love, it's a curiousâ)3Embed",Slowdive
2,Star Roving,Slowdive,5-May-17,"23 ContributorsTranslationsPolskiEspaÃ±olPortuguÃªsStar Roving Lyrics Give it away now, girl Can't hold down tonight Every black and white Secret's a blinking light Emma flies a kite Said she's feeling love for everyone tonight Although possible Said she's feeling good, said she's feeling good Smiling beautiful She says I make it best For everyone to hide Twisting around my girl Nothing left to lose Nothing left to fight Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh See Slowdive LiveGet tickets as low as $55You might also like Give it away now, girl Can't hold on to mine Every black and white Secret's seeking light In a flash of time Said she's feeling love for everyone tonight Smiling beautiful She says I make it best for everyone tonight Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh8Embed",Slowdive
3,Don’t Know Why,Slowdive,5-May-17,"19 ContributorsTranslationsPolskiEnglishDonât Know Why Lyrics Put it all behind you, put it in a song, yeah I don't want to know about it Put it in a corner somewhere I can't find it I don't want to think about Put it on a fire, put it in a pocket I don't want to see you now Put it in a picture, hide it in a story I don't wanna know about Put it all behind you, put it in a song, yeah I donât want to know about it (Bury all the magic) Put it in a corner somewhere I canât find it I donât want to think about (Bury all the treasure) Put it on a fire, put it in a pocket I donât want to see you now (Throw away all the poems) Put it in a picture, hide it in a story I donât wanna know about () I don't remember much about it all Just saw you loving someone else And swallowing that bitter pill My shabby heart was acting out You know I don't want no one else Put it all behind you, put it in a song, yeah I don't want to know about it Put it in a corner, somewhere I can't find it I don't want to think about Put it on a fire, put it in a pocket I don't want to see you now Put it in a picture, hide it in a story I don't wanna know about Put it all behind you, put it in a song, yeah I donât want to know about it (Bury all the magic) Put it in a corner somewhere I canât find it I donât want to think about (Bury all the treasure) Put it on a fire, put it in a pocket I donât want to see you now (Throw away all the poems) Put it in a picture, hide it in a story I donât wanna know about () Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about Put it in a corner somewhere I canât find it I donât want to think about See Slowdive LiveGet tickets as low as $55You might also like Threw it all upon a fire Took the fight to someone else5Embed",Slowdive
4,Sugar for the Pill,Slowdive,5-May-17,39 ContributorsTranslationsEspaÃ±olPolskiSugar for the Pill Lyrics There's a blizzard of gulls They're drumming in the wind Only lovers alive Running in the dark Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole Cut across the sky And move a little closer now Lying in a bed of greed You know I had the strangest dream Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole See Slowdive LiveGet tickets as low as $55You might also like Anna rolled away Said we never wanted much Just a rollercoast' Our love was never number one Sugar for the pill You know it's just the way things are Can't abide the sun This jealousy will break the whole27Embed,Slowdive
5,Everyone Knows,Slowdive,5-May-17,"16 ContributorsTranslationsPolskiEspaÃ±olEveryone Knows Lyrics Youâre so beautiful But you're all alone I see you there But I donât know anything And you holding back Just holding on You say you're fine Going to America You made a plan You can sail away Can rent a car Take me to the place you know Take me to America, America To the great north To the great north Well it sounds like fun But I donât know anyone Just say the word Take me to America I can let you go We can take it slow Just pack your bag Take me to the place you know See Slowdive LiveGet tickets as low as $55You might also like Take me to America (America) Take me to America (America) Take me to America (America)3Embed",Slowdive
6,No Longer Making Time,Slowdive,5-May-17,"24 ContributorsTranslationsPolskiEspaÃ±olNo Longer Making Time Lyrics You come anyway You say you're clean and you like it that way You got a new boy He keeps it light, yeah, you like a light love Who cares anyway Oh Lord, I remember those days And all those nights When you wanted so much more Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Come anyway Come on down in your blue-eyed way Comes and it goes You come around and I don't know why Just lovers and life Common ground, yeah, there's no surprise Just holding your arms Holding on till the fear, it goes See Slowdive LiveGet tickets as low as $55You might also like Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Cathy, don't wait too long We're no longer making time Forever we'll be Together, we breathe No longer far to run Who cares anyway Oh Lord, I remember those days And all those nights Holding on till the fear, it goes5Embed",Slowdive
7,Go Get It,Slowdive,5-May-17,9 ContributorsGo Get It Lyrics I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it shadow of a girl I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it I wanna feel it I wanna see it Watch me go away See Slowdive LiveGet tickets as low as $55You might also like1Embed,Slowdive
8,Falling Ashes,Slowdive,5-May-17,"24 ContributorsTranslationsPolskiEspaÃ±olFalling Ashes Lyrics Boy and the man Hear the ghost in this town Could this be it Your final words, your own We rolled the bed Piece by piece, plank by plank Then gathered in light You were the grace of my night Thinking about love Thinking about love Thinking about love Thinking about love The night boat floats past The years tumble down He's living alone The only life that you know California, I thought I saw ya' Love of my life, grace of my night Thinking about love Thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love See Slowdive LiveGet tickets as low as $55You might also like Thinking about love Thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Thinking about love, thinking about love Love1Embed",Slowdive
9,30th June,Slowdive,5-May-17,"5 Contributors30th June LyricsThe most beautiful day I ever saw With these eyes I saw the best in life The most sensical day I had Turning stones, turning stones over til they shone (Dark as days, dark as days) And you were caught in the dark With nothing makes sense But you were caught in the dark Where nothing makes no sense (Shadows down, shadows down / when I saw the light in you) The most beautiful day I ever, ever had With these eyes I saw the light in yours The most sensical day I had Turning stones, turning stones over til they shone (Dark as days, turning stones, dark as days)See Slowdive LiveGet tickets as low as $55You might also likeEmbed",Slowdive
1,Lannoy Point,Ride,16-Jun-17,4 ContributorsLannoy Point LyricsIf seeing is believing Believing is not seeing All these feelings I can't repair Your way of seeing All melts into air A Face of reason equals treason A treason against all reason All this dealing I can't repair My way of being All melts into air I'm wiser for the time I row against the tide I drop onto my knees All turned back a century We'll be wiser when we fall Like the dinosaurs before When we've swept ourselves away A better sense can start again A better sense can start again A better sense can start again See Ride LiveGet tickets as low as $54You might also likeI'm wiser for the time I roll against the tide I drop to my knees All to that good century We'll be wiser when we fall Like the dinosaurs before When we've swept ourselves away A better sense can start again (Believing my feelings) A better sense can start again (Believing all my feelings) A better sense can start again (Believing all my feelings) A better sense can start again (Believing all my feelings) A better sense can start again A better sense can start again3Embed,Weather Diaries
2,Charm Assault,Ride,16-Jun-17,3 ContributorsCharm Assault Lyrics Focused raw reptilian ambition From the dark side where it's all a game As the pieces move into position Did you feel a flicker in your brain? Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl Acid sweating hunchback apparition Privilege abused at every turn Serious as a heart attack he's standing He sets fire to your world and lets it burn Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl See Ride LiveGet tickets as low as $54You might also like Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurlEmbed,Weather Diaries
3,All I Want,Ride,16-Jun-17,"5 ContributorsAll I Want Lyrics There is a ill wind blowing Maybe you feel it too Strange people are on the rise One day they're gonna come for you (All I want) (All I want is) (All I want) (All I want is) While you were sleeping on it Your future was torn from under you It's not a pretty picture This is 1932 (All I want is) (All I want is) All I want is to leave this time (All I want is) Believe me (All I want is) All I want is to leave this time I can't feel how you want me to feel I can't know what you want me to know All I want is, all I want is I can't be what you want me to be I can't go where you want me to go All I want is, all I want is See Ride LiveGet tickets as low as $54You might also like (All I want is) All I want is to leave this time (All I want is) Believe me (All I want is) All I want is to leave this time (All I want is) All I want is to leave this time (All I want is) Believe me (All I want) All I want is to leave this time I can't feel how you want me to feel I can't know what you want me to know All I want is, all I want is I can't be what you want me to be I can't go where you want me to go All I want is, all I want isEmbed",Weather Diaries
4,Home Is A Feeling,Ride,16-Jun-17,"3 ContributorsHome Is A Feeling LyricsHome is a feeling, warm like the sun Inside everyone needs a safe place to run Run to the morning, faster than the sun Someone is there waiting, yes, she's the one Washed by the warm tide, dried by the sunrise It's time to open your eyes to a feeling, feeling To a feeling Home in the morning, first light of dawn I love that feeling, feeling, feeling Feeling Feeling FeelingSee Ride LiveGet tickets as low as $54You might also likeEmbed",Weather Diaries
5,Weather Diaries,Ride,16-Jun-17,"4 ContributorsWeather Diaries Lyrics So it rained that day The day I gave it all away And I never thought it would When the morning looked so good It seems you never know Which direction life will blow You never know what someone's thinking Until they're just about to go I'm unsettled by the weather It's getting stranger Should it be this good right now? Are we in some kind of danger? Is this atmosphere just me- Or is the sky too blue? It's too perfect Something's got to give I'm going under, Where are you? And it rained today Conspiracy or one more anomaly? When I was younger it was simple We didn't need to question everything See Ride LiveGet tickets as low as $54You might also like It seems you never know Which direction life will blow You never know what someone's thinking Until they're just about to go I'm unsettled by the weather It's getting stranger Should it be this good right now? Are we in some kind of danger? Is this atmosphere just me? Or is the sky too blue? It's too perfect Something's got to give I'm going under Where are you? 3Embed",Weather Diaries
6,Rocket Silver Symphony,Ride,16-Jun-17,"3 ContributorsRocket Silver Symphony LyricsSun is up and the day goes right for me I'm moving up in a way that's rightfully Ringing out yeah, your day calls out to me I'm moving up, can't contain the light I see All around me the air sings infinity Chin is up and the scene is on to me Coffee cup and I'm sailing out to sea I'm moving up in a way that seems to be Fired from my mind Like a silver symphony Out of my mind, rocket silver symphony All around me the air sings a melody Chin is up, so the scene belongs to me Something's up in a way that is rightfully Rocket silver, so clean and clear to see Here it come's like a silver symphony Fired from my mind Like a silver symphony Out of my mind, rocket silver symphony Fired from my mind Like a silver symphonySee Ride LiveGet tickets as low as $54You might also likeEmbed",Weather Diaries
7,Lateral Alice,Ride,16-Jun-17,"6 ContributorsLateral Alice LyricsI had a dream that we went walking David Foster Wallace and I In great detail we were talking The Pale King smiled as he kissed the sky Waiting for the storm to pass Waiting around with Lateral Alice Waking up in another town This is what I remember I had a dream we were surfing Robert Anton Wilson and I Off some California beach Clearing the decks After getting hight Waiting for the storm to pass Standing around picking holes in the grass Waking up in another town This is what I remember Waiting for the storm to pass Waiting around with idle eyes Waking up in another town This is what I remember Someone said ""Smile"" and I turned around He pulled the trigger and I hit the ground Waking up in another town This is what I rememberSee Ride LiveGet tickets as low as $54You might also likeEmbed",Weather Diaries
8,Cali,Ride,16-Jun-17,"3 ContributorsCali LyricsAnother Summer is on the way, Cali Another lover, the only one, Cali Formed you, I found you, pulled you, too far to catch a wave Saw you, kissed you on the beach And I was saved You look good with blue sky behind Silhouetted in the bright sunshine Burned onto my retina screen The greatest thing I've ever seen Another Summer passed like a day, Cali Speeding, spaced and tangled up in you, Cali Suddenly suntanned like cinnamon She weaves the waves, Cali I'm spellbound, stoned and dethroned And feeling brave You look good with blue sky behind Silhouetted in the bright sunshine Burned onto my retina screen The greatest thing I've ever seen Blue ocean, white water views Walking back from the beach with you 4th street steps and my life was made Sometimes I wish that we had stayed See Ride LiveGet tickets as low as $54You might also likeAnother Summer is on the way, Cali Another lover, the only one, Cali Formed you, I found you, pulled you, too far to catch a wave Saw you, kissed you on the beach And I was saved C-A-L-I, Summer is goneEmbed",Weather Diaries
9,Integration Tape,Ride,16-Jun-17,,Weather Diaries
10,Impermanence,Ride,16-Jun-17,"3 ContributorsImpermanence LyricsImpermanence outlives you Your life will always be You've always been and you will remain I'll speed up time so you can see Look at this window pane There's no need to be afraid The glass is slowly melting And the wood just falls away There will be another Today you feel like you are nothing So unsteady on your feet But you have the strength inside you Of the trees, the rocks, the beach You're older and younger Than every burning star With a silent eye that sits behind Each day you find so hard Waiting for another I never thought this day would come I never realized our time would end But if you've got to go I want you to know That I need to say ""Thank You"" again Before the end of the world See Ride LiveGet tickets as low as $54You might also likeYou ran away but still you're with me I found you at my core Our bodies fight our battles We've already won the war She says, ""Why is everything ending?"" Because it's always been And this should make her feel better But it don't feel like a win At the end of the world This should make me feel better But it don't feel like a win At the end of the worldEmbed",Weather Diaries
11,White Sands,Ride,16-Jun-17,"3 ContributorsWhite Sands LyricsThe breath between twenty years That same breath tonight We'll always betray ourselves Always hold back time The breath between better days We came the long way round Awakening to be ourselves We died at least once to save our ground Always forever change I wish some things could stay the same I've been thinking of back in time I never knew what was mine- Illusions, Illusions The waves are rocking the winds to rest Lost in our landscapes When we're at our best Breathe in and inspire me Make these our finest hours Time waits for no man What's left behind is oursSee Ride LiveGet tickets as low as $54You might also likeEmbed",Weather Diaries
1,Pulsar,Ride,16-Feb-18,"5 ContributorsPulsar LyricsYou can never see me shine like I always wanted you to There's something in the way, or you miss it againâand again Still shimmer holding out, always beaming over to you So very far away, I hope it gets there still Like the summer always fades and the wind gets cool on your skin You know that something was, will never be again We glimmer in the dark of the life we have on our own Sometimes another one can let you know that you're there Always keep your eyes on the pulsar Guiding you home from wherever you are We're on our way home from another star It's been so long and we've come so far We've come so farSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tomorrow’s Shore [EP]
2,Keep It Surreal,Ride,16-Feb-18,"4 ContributorsKeep It Surreal LyricsWalking a tightrope Did you ever wanna jump? Fall from the heavens Because it's easier to give up? Holding attention for too long Just wears you down Time to let go of everything And leave this town It's surreal, surreal But don't get the needle It's surreal, surreal But don't get the needle It's surreal, surreal Keep it surreal Surreal Surreal SurrealSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tomorrow’s Shore [EP]
3,Cold Water People,Ride,16-Feb-18,4 ContributorsCold Water People LyricsMist has covered up the lake There is no sky I've lost direction And I think I know the reason why Tell me How do we get back home now? Cold water people Thirsty for rain Tell me again about evolution I'll follow you back into the sea again On the spectrum Off the grin Trying to piece it together Life's as jagged as your favorite song But love is forever Tell me How do we get back home now? Cold water people Thirsty for rain Tell me again about evolution I'll follow you back into the sea again Tell me How do we get back home now? Cold water people Thirsty for rain Tell me again about evolution I'll follow you back into the sea againSee Ride LiveGet tickets as low as $54You might also likeEmbed,Tomorrow’s Shore [EP]
4,Catch You Dreaming,Ride,16-Feb-18,6 ContributorsCatch You Dreaming Lyrics In another time There were people here And it felt so real Till it disappeared There's a wave that breaks On tomorrow's shore You can't see it now It's coming To catch you dreaming (Na-na-na-na-na) We've done nothing wrong (Na-na-na-na-na) It's just who we are (Na-na-na-na-na) No need to apologize (Na-na-na-na-na) Work it out this way All our past is gone Tracks we left behind Left forever in Shifting sands of time In the heat of the sun As we come undone If I look at you It's only To catch you dreaming See Ride LiveGet tickets as low as $54You might also like (Na-na-na-na-na) We've done nothing wrong (Na-na-na-na-na) It's just who we are (Na-na-na-na-na) No need to apologize (Na-na-na-na-na) Work it out this way (Na-na-na-na-na) We've done nothing wrong (Na-na-na-na-na) It's just who we are (Na-na-na-na-na) No need to apologize (Na-na-na-na-na) Work it out this way (Na-na-na-na-na) We've done nothing wrong (Na-na-na-na-na) It's just who we are (Na-na-na-na-na) No need to apologize (Na-na-na-na-na) Work it out this way (Na-na-na-na-na) We've done nothing wrong (Na-na-na-na-na) It's just who we are (Na-na-na-na-na) No need to apologize (Na-na-na-na-na) Work it out this wayEmbed,Tomorrow’s Shore [EP]
1,R.I.D.E.,Ride,16-Aug-19,2 ContributorsR.I.D.E. Lyrics (Ride) (Ride)See Ride LiveGet tickets as low as $54You might also likeEmbed,This Is Not a Safe Place
2,Future Love,Ride,16-Aug-19,"3 ContributorsFuture Love Lyrics I see you Are we drunk on morning dew? 'Cause I Can't say your name But you've got me going Yeah, you've got me going Skies are blue And I can't do anything And the days seem so long Now you've got me going Yeah, you've got me going You had me from the start Pulling all the stops out On the down low, secretly But I think you knew your psychology Was working on me Infatuated And doing this all wrong You've got My number and my name And you've got me going Yeah, you've got me going See Ride LiveGet tickets as low as $54You might also like Can I see you every day? Do you love me Like I love you? Ah, you've got me going Yeah, you've got me going Ah, oh A future love Can never fail Ah, oh A future love Can never fail You've got me going You've got me going You've got me going You've got me going You've got me going You've got me goingEmbed",This Is Not a Safe Place
3,Repetition,Ride,16-Aug-19,"2 ContributorsRepetition Lyrics Change, repetition Change, repetition Change, repetition Change, repetition Repetition is a form of change So don't be phased if the backdrops rearrange Art school taught us how to play Ways of hearing and what they say At seventeen it's purely teenage art, you see Hiding clarity in obscurity Realising there's no truth will set you free As in the cryptic work of JMB Change, repetition Change, repetition Change, repetition Change Happiness is found in simple things If you can smile you don't really need to sing See Ride LiveGet tickets as low as $54You might also like It's funny, people hate you to change They want you just to repeat and stay the same They want you just to repeat and stay the same Even though repetition is a form of change Repetition, change Repetition, change Repetition, change Repetition, changeEmbed",This Is Not a Safe Place
4,Kill Switch,Ride,16-Aug-19,"2 ContributorsKill Switch Lyrics When it hits the fan Jeopardy crashes the wars you wage When the truth gets served The game is up, you go down in the next stage This party's nearly done I wanna kill your sound, make the right noise Hit the kill switch So what do you do? When you're not talking over everyone? What do you do When you're not just playing up your own game This party's nearly done And there's nothing on you, not a stitch I wanna kill your sound, make the right noise Hit the kill switch This party's nearly done And there's nothing on you, not a stitch I wanna kill your sound, make the right noise Hit the kill switch Hit the kill switch Hit the kill switch Hit the kill switch I wanna kill your sound, make the right noise Hit the kill switchSee Ride LiveGet tickets as low as $54You might also likeEmbed",This Is Not a Safe Place
5,Clouds of Saint Marie,Ride,16-Aug-19,3 ContributorsClouds of Saint Marie Lyrics Clouds of Saint Marie I see Clouds of Saint Marie She's over me A memory A remedy A melody Clouds of Saint Marie Make me feel Clouds of Saint Marie Nothing's real (deleted) A memory (is needed) A remedy (repeated) A melody (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again See Ride LiveGet tickets as low as $54You might also like She's over me A memory A remedy A melody Clouds of Saint Marie Before the rain Clouds of Saint Marie She'll fall again (deleted) A memory (is needed) A remedy (repeated) A melody (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) Again (Na-na-na-nananana) She reigns over me (Na-na-na-nananana) AgainEmbed,This Is Not a Safe Place
